Time [sec],Altitude True [m],Velocity True [m/s],Ballistic Coefficient True [],Range True [m],Range measurement [m],
42.485,3389.91,-164.527,0.001,5252.84,5291.75,
42.5852,3373.44,-164.327,0.001,5257.92,5242.47,
42.6854,3356.98,-164.127,0.001,5263.03,5252.47,
42.7856,3340.55,-163.928,0.001,5268.19,5284.64,
42.8858,3324.13,-163.73,0.001,5273.38,5345.06,
42.986,3307.74,-163.533,0.001,5278.61,5321.74,
43.0862,3291.36,-163.336,0.001,5283.89,5407.43,
43.1864,3275,-163.141,0.001,5289.2,5258.84,
43.2866,3258.67,-162.946,0.001,5294.55,5318.59,
43.3868,3242.35,-162.752,0.001,5299.94,5183.43,
43.487,3226.05,-162.559,0.001,5305.36,5280.91,
43.5872,3209.77,-162.367,0.001,5310.83,5299.91,
43.6874,3193.51,-162.175,0.001,5316.33,5341.18,
43.7876,3177.27,-161.985,0.001,5321.87,5311.03,
43.8878,3161.05,-161.795,0.001,5327.45,5394.89,
43.988,3144.85,-161.605,0.001,5333.07,5369.88,
44.0882,3128.66,-161.417,0.001,5338.72,5323.21,
44.1884,3112.5,-161.229,0.001,5344.4,5367.17,
44.2886,3096.35,-161.043,0.001,5350.13,5331.61,
44.3888,3080.23,-160.857,0.001,5355.89,5413.33,
44.489,3064.12,-160.671,0.001,5361.68,5284.4,
44.5892,3048.03,-160.487,0.001,5367.51,5311.41,
44.6894,3031.96,-160.303,0.001,5373.38,5389.1,
44.7896,3015.9,-160.12,0.001,5379.28,5339.14,
44.8898,2999.87,-159.937,0.001,5385.21,5333.15,
44.99,2983.85,-159.756,0.001,5391.18,5362.15,
45.0902,2967.85,-159.575,0.001,5397.19,5436.09,
45.1904,2951.87,-159.395,0.001,5403.22,5441.99,
45.2906,2935.91,-159.215,0.001,5409.29,5470.81,
45.3908,2919.97,-159.037,0.001,5415.4,5402.75,
45.491,2904.04,-158.858,0.001,5421.54,5397.48,
45.5912,2888.13,-158.681,0.001,5427.71,5431.27,
45.6914,2872.24,-158.504,0.001,5433.91,5362.33,
45.7916,2856.37,-158.328,0.001,5440.14,5336.2,
45.8918,2840.51,-158.153,0.001,5446.41,5406.92,
